Timestamp             AHC.Open       AHC.High        AHC.Low      AHC.Close                .PE 
25/03/16                36.250         36.250         35.750         36.000              33.690
28/03/16                36.000         36.250         36.000         36.000              33.690
29/03/16                36.500         36.500         36.000         36.000              33.690
30/03/16                36.000         37.000         36.000         37.000              34.620
31/03/16                37.000         37.000         36.750         37.000              34.620
01/04/16                37.000         37.000         37.000         37.000              34.620
04/04/16                36.750         37.000         36.750         37.000              34.620
05/04/16                37.000         38.750         37.000         37.250              34.850
07/04/16                38.000         40.000         37.750         38.250              35.790
08/04/16                38.750         39.500         38.250         39.250              36.730
11/04/16                39.500         40.500         39.250         40.250              37.660
12/04/16                40.000         40.750         40.000         40.250              37.660
18/04/16                40.500         41.000         40.250         40.250              37.660
19/04/16                40.500         41.750         40.500         41.750              39.070
20/04/16                41.500         43.000         41.250         42.000              39.300
21/04/16                42.000         42.000         40.000         40.500              37.900
22/04/16                40.000         40.750         38.750         38.750              36.260
25/04/16                38.500         39.250         38.500         38.750              36.260
26/04/16                39.500         41.250         39.500         40.250              37.660
27/04/16                40.500         41.000         40.000         40.000              37.430
28/04/16                40.000         40.750         39.250         39.250              36.730
29/04/16                39.000         40.000         39.000         39.750              37.190
03/05/16                38.750         40.250         38.750         40.000              37.430
04/05/16                39.750         40.250         39.750         40.000              37.430
09/05/16                39.250         40.750         39.250         40.000              37.430
10/05/16                39.500         40.500         39.500         39.500              36.960
11/05/16                40.250         40.250         39.750         39.750              37.190
12/05/16                39.500         39.500         39.000         39.000              35.560
13/05/16                38.750         39.500         38.750         38.750              35.330
16/05/16                38.250         39.750         38.250         38.250              34.870
17/05/16                38.000         39.000         38.000         38.750              35.330
18/05/16                38.000         39.000         38.000         38.750              35.330
19/05/16                38.750         39.250         38.250         38.500              35.100
23/05/16                39.000         39.000         38.500         38.500              35.100
24/05/16                38.750         39.250         38.500         39.250              35.780
25/05/16                39.250         40.000         39.250         40.000              36.470
26/05/16                40.250         40.500         40.000         40.000              36.470
27/05/16                40.250         40.250         40.250         40.250              36.700
30/05/16                40.250         40.500         40.000         40.250              36.700
31/05/16                40.000         40.500         40.000         40.250              36.700
01/06/16                40.500         40.750         40.250         40.250              36.700
02/06/16                40.000         40.250         39.500         39.750              36.240
03/06/16                39.500         39.750         39.250         39.500              36.010
06/06/16                39.000         39.750         39.000         39.000              35.560
07/06/16                39.000         39.000         39.000         39.000              35.560
08/06/16                39.000         39.000         39.000         39.000              35.560
09/06/16                39.000         39.750         39.000         39.500              36.010
10/06/16                39.750         39.750         39.000         39.500              36.010
13/06/16                39.500         39.750         39.500         39.750              36.240
14/06/16                39.750         40.000         39.750         39.750              36.240
15/06/16                40.000         40.250         39.750         40.000              36.470
16/06/16                40.000         40.000         39.000         39.000              35.560
17/06/16                39.000         39.750         39.000         39.750              36.240
20/06/16                39.250         40.000         39.000         39.750              36.240
21/06/16                40.000         40.250         39.500         39.750              36.240
22/06/16                40.000         40.000         39.500         39.750              36.240
23/06/16                39.250         40.250         38.750         39.000              35.560
24/06/16                39.000         39.750         39.000         39.000              35.560
27/06/16                39.000         39.000         38.250         38.500              35.100
28/06/16                38.250         40.250         38.250         40.000              36.470
29/06/16                40.250         40.250         39.250         39.250              35.780
30/06/16                39.250         39.250         38.500         38.750              35.330
04/07/16                38.750         39.250         38.500         38.750              35.330
05/07/16                38.250         39.250         38.250         39.250              35.780
06/07/16                39.000         39.500         39.000         39.500              36.010
07/07/16                39.000         39.500         39.000         39.500              36.010
08/07/16                39.750         40.000         39.500         39.500              36.010
11/07/16                39.000         39.750         38.250         38.500              35.100
12/07/16                38.500         38.750         38.500         38.500              35.100
13/07/16                38.500         38.750         38.250         38.500              35.100
14/07/16                38.500         38.750         38.500         38.750              35.330
15/07/16                38.500         39.000         38.500         38.500              35.100
20/07/16                38.750         39.000         38.750         38.750              35.330
21/07/16                38.750         38.750         38.500         38.750              35.330
22/07/16                38.750         39.000         38.500         38.750              35.330
25/07/16                38.750         39.250         38.500         38.750              35.330
26/07/16                38.750         38.750         38.000         38.500              35.100
27/07/16                38.500         38.750         38.000         38.250              34.870
28/07/16                38.000         38.500         38.000         38.250              34.870
29/07/16                38.000         38.500         38.000         38.500              35.100
01/08/16                38.000         38.250         37.750         38.000              34.640
02/08/16                38.000         38.250         37.500         37.750              34.420
03/08/16                37.750         38.500         37.500         38.500              35.100
04/08/16                38.000         38.750         38.000         38.750              35.330
05/08/16                38.250         38.500         38.000         38.500              35.100
08/08/16                38.000         38.500         38.000         38.500              35.100
09/08/16                38.000         38.500         37.750         38.500              35.100
10/08/16                38.250         38.500         38.000         38.500              35.100
11/08/16                38.000         38.750         38.000         38.000              34.640
15/08/16                37.750         38.250         37.750         38.000              34.640
16/08/16                37.500         38.250         37.500         38.250              36.150
17/08/16                38.250         38.500         38.000         38.250              36.150
19/08/16                37.750         38.250         37.750         38.250              36.150
23/08/16                37.750         38.250         37.500         37.750              35.680
24/08/16                38.000         38.250         37.750         38.250              36.150
25/08/16                37.500         38.500         37.500         38.250              36.150
26/08/16                38.000         38.250         38.000         38.250              36.150
29/08/16                37.750         38.250         37.250         38.250              36.150
30/08/16                38.000         38.250         38.000         38.250              36.150
31/08/16                38.250         38.500         38.250         38.500              36.390
02/09/16                38.500         38.500         38.000         38.000              35.920
05/09/16                38.500         38.500         37.000         37.250              35.210
06/09/16                37.250         37.250         37.000         37.250              35.210
07/09/16                37.500         38.250         37.500         38.250              36.150
08/09/16                37.500         38.000         36.750         38.000              35.920
09/09/16                37.000         37.000         35.000         36.500              34.500
12/09/16                36.500         37.250         35.000         37.000              34.970
13/09/16                36.750         37.000         36.000         37.000              34.970
